"","id","label","notes","type"
"1","_id","_id",NA,"int"
"2","anio","Año","Año de registro de las averiguaciones previas y/o carpetas de investigación.","text"
"3","clave_ent","Clave de entidad","Clave de la entidad, según el Marco Geoestadístico Nacional (MGN) del Instituto Nacional de Geografía y Estadística (INEGI).","numeric"
"4","entidad","Entidad","Entidad federativa de registro de las averiguaciones previas y/o carpetas de investigación.","text"
"5","bien_juridico_afectado","Bien jurídico afectado","Primera clasificación de los delitos en las averiguaciones previas y/o carpetas de investigación.","text"
"6","tipo_delito","Tipo de delito","Segunda clasificación de los delitos.","text"
"7","subtipo_delito","Subtipo de delito","Tercera clasificación de los delitos.","text"
"8","modalidad","Modalidad","Cuarta clasificación de los delitos.","text"
"9","mes","Mes","Mes de registro de las averiguaciones previas y/o carpetas de investigación.","text"
"10","fecha","Fecha","Fecha de registro de las averiguaciones previas y/o carpetas de investigación.","timestamp"
"11","incidencia_delictiva","Incidencia delictiva","Incidencia delictiva del Fuero Común","numeric"
"12","entidad_federativa","Entidad federativa","Entidad federativa de registro de las averiguaciones previas y/o carpetas de investigación.","text"
